title,category,date,longitude,latitude
"BCP Mullet B Rx 0617 Prescribed Fire, Collier, Florida",Wildfires,2025-06-17T07:11:00Z,-81.110883,26.023867
"Telidaside Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-16T22:17:00Z,-152.59,63.19
"Hogatza Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-16T20:41:00Z,-153.848333,66.758333
"Kawichiark 2 Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-16T15:33:00Z,-158.03627,66.565531
"Kawichiark 1 Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-16T15:29:00Z,-158.039,66.565333
"0291 ALDER SPRINGS Wildfire, Jefferson, Oregon",Wildfires,2025-06-16T13:38:00Z,-121.346667,44.444667
"APQ Area 1 Rx 0616 Prescribed Fire, Polk, Florida",Wildfires,2025-06-16T09:00:00Z,-81.389122,27.710079
"BCP Mullet B Rx 0616 Prescribed Fire, Collier, Florida",Wildfires,2025-06-16T08:40:00Z,-81.0949,26.0679
"pouch point Wildfire, Mountrail, North Dakota",Wildfires,2025-06-14T16:48:00Z,-102.472476,47.981964
"pouch point Wildfire, Mountrail, North Dakota",Wildfires,2025-06-14T16:21:00Z,-102.472476,47.981964
"Oskawalik Wildfire, Bethel, Alaska",Wildfires,2025-06-14T16:19:00Z,-158.2245,61.725167
"pouch point Wildfire, Mountrail, North Dakota",Wildfires,2025-06-14T14:54:00Z,-102.472476,47.981964
"BCP Mullet B Rx 0614 Prescribed Fire, Collier, Florida",Wildfires,2025-06-14T07:21:00Z,-81.0949,26.0679
"DOGS Wildfire, Kern, California",Wildfires,2025-06-13T17:22:00Z,-118.93,35.6383333
"Mines Spung Wildfire, Burlington, New Jersey",Wildfires,2025-06-13T16:48:00Z,-74.63979,39.74558
"Bridge Creek Wildfire, San Juan, Utah",Wildfires,2025-06-13T16:39:00Z,-110.9005556,37.0422222
"Horse Wildfire, Sublette, Wyoming",Wildfires,2025-06-13T16:18:00Z,-110.528967,42.90025
